userid,isbn
11676,60502258
11676,60987103
11676,61009059
11676,014028009X
11676,142000205
11676,156027321
11676,312278586
11676,312291639
11676,312305060
11676,316776963
11676,345313860
11676,345337662
11676,345370775
11676,375706771
11676,375707972
11676,375726403
11676,375727345
11676,380789019
11676,385484518
11676,385504209
11676,385722206
11676,439064872
11676,439136369
11676,439139597
11676,440221471
11676,440225701
11676,440226430
11676,440234743
11676,440236673
11676,044023722X
11676,440241073
11676,446364193
11676,044651652X
11676,446605239
11676,446608955
11676,553572997
11676,590353403
11676,671510053
11676,684872153
11676,684874350
11676,743237188
11676,743418174
11676,786868716
11676,804114986
11676,812550706
11676,842329129
11676,971880107
16795,60976845
16795,61009059
16795,142000205
16795,312195516
16795,312291639
16795,312305060
16795,316569321
16795,316769487
16795,345339703
16795,345342968
16795,375706771
16795,375727345
16795,440214041
16795,440222656
16795,440226430
16795,446364193
16795,044651652X
16795,446608955
16795,446610038
16795,446672211
16795,671001795
16795,068484477X
16795,684874350
16795,743237188
16795,743418174
16795,786868716
16795,842329129
22625,60930535
22625,142001740
22625,375727345
22625,385722206
22625,452282829
22625,743237188
22625,786868716
35859,60502258
35859,60934417
35859,142001740
35859,312278586
35859,316666343
35859,375700757
35859,375707972
35859,385722206
35859,446610038
35859,671001795
35859,743418174
35859,804106304
35859,842329129
95359,60915544
95359,60934417
95359,60976845
95359,61009059
95359,140293248
95359,312195516
95359,312278586
95359,316096199
95359,316284955
95359,316666343
95359,316769487
95359,345370775
95359,375707972
95359,375725784
95359,375726403
95359,375727345
95359,440226430
95359,440236673
95359,446610038
95359,553572997
95359,671003755
95359,671027360
104636,61009059
104636,014028009X
104636,316284955
104636,316601950
104636,440213525
104636,440214041
104636,440220602
104636,044022165X
104636,440224764
104636,440225701
104636,446364193
104636,553572997
104636,671001795
104636,671003755
104636,1558743669
110912,60928336
110912,60959037
110912,60976845
110912,312195516
110912,316601950
110912,446610038
110912,449212602
110912,671027360
110912,684874350
204864,60928336
204864,60930535
204864,60976845
204864,316666343
204864,345361792
204864,375726403
204864,375727345
204864,385722206
204864,449005615
204864,842329129
271448,60987103
271448,312195516
271448,312305060
271448,316569321
271448,316769487
271448,345443284
271448,375700757
271448,375707972
271448,440213525
271448,068484477X
271448,804114986
