userid,isbn
11676,60938455
11676,316096199
11676,316569321
11676,312195516
11676,345361792
11676,345417623
11676,385335482
11676,439064864
11676,439139600
11676,446610038
11676,446672211
11676,449212602
11676,449005615
11676,452282829
11676,059035342X
11676,671001795
11676,067976402X
16795,142001740
16795,316666343
16795,446605239
16795,385504209
16795,671021001
16795,1558743669
22625,316601950
22625,316666343
22625,316769487
22625,345339681
22625,345443284
22625,375706771
22625,385484518
22625,439064864
22625,043935806X
22625,059035342X
22625,067976402X
35859,61009059
35859,312195516
35859,345342968
35859,044021145X
35859,059035342X
35859,068484477X
95359,312305060
95359,316601950
95359,345361792
95359,60392452
95359,385486804
95359,385492081
95359,446310786
95359,043935806X
95359,449212602
104636,439064872
104636,439136369
104636,439139600
104636,044021145X
104636,440211727
104636,059035342X
104636,440226430
104636,446610038
104636,446672211
110912,60392452
110912,014028009X
110912,385484518
110912,385722206
110912,439064864
110912,439139597
110912,345361792
110912,440226430
110912,786868716
110912,804114986
110912,1400034779
110912,068484477X
204864,156027321
204864,312195516
204864,316769487
204864,375700757
204864,380789035
204864,440206154
204864,449212602
204864,067976402X
204864,684874350
204864,812550706
271448,60928336
271448,312291639
271448,316666343
271448,439139600
271448,043935806X
271448,044023722X
271448,446672211
271448,452282829
271448,743237188
